date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","1,087 sqft",2bd,2bd,"$270,000","Wisteria Real Estate LLC, Closed",6N609 Salina Ave, Saint Charles,Illinois,60174
"AUG 29, 2024","2,204 sqft (on 1 acre)",4bd,4bd,"$650,000","@properties Christie's International Real Estate, Closed",4N998 Stonebridge Ln, St Charles,Illinois,60175
"AUG 29, 2024","1,708 sqft",3bd,3bd,"$380,000","@properties Christie's International Real Estate, Closed",1505 Rita Ave, St Charles,Illinois,60174
"AUG 29, 2024","2,032 sqft (on 1.40 acres)",4bd,4bd,"$530,000","Baird & Warner, Closed",41W824 Northway Dr, Elburn,Illinois,60119
"AUG 29, 2024","2,981 sqft",4bd,4bd,"$495,000","Fathom Realty IL LLC, Closed",220 Aldrin Ave, Batavia,Illinois,60510
"AUG 29, 2024","1,504 sqft (on 0.25 acres)",3bd,3bd,"$350,000","john greene, Realtor, Closed",118 Arbor Ave, Sugar Grove,Illinois,60554
"AUG 29, 2024","1,240 sqft",5bd,5bd,"$247,500","Keller Williams Innovate - Aurora, Closed",667 S  Lake St, Aurora,Illinois,60506
"AUG 29, 2024","1,872 sqft",4bd,4bd,"$285,000","Keller Williams Innovate - Aurora, Closed",1905 Kevin Dr, Montgomery,Illinois,60538
"AUG 29, 2024","2,440 sqft (on 1.64 acres)",3bd,3bd,"$515,000","Berkshire Hathaway HomeServices Chicago, Closed",15770 Griswold Springs Rd, Plano,Illinois,60545
"AUG 29, 2024",,3bd,3bd,"$345,000","Baird & Warner, Closed",85 Willow Ln, Bristol,Illinois,60512
"AUG 29, 2024",,3bd,3bd,"$320,000","Spring Realty, Closed",54 W  Rickard Dr, Oswego,Illinois,60543
"AUG 29, 2024","2,332 sqft (on 1.12 acres)",3bd,3bd,"$500,000","Realty Executives Success, Closed",4404 Tuma Rd, Yorkville,Illinois,60560
"AUG 29, 2024","2,100 sqft",3bd,3bd,"$276,000","Coldwell Banker Realty, Closed",446 Gloria Ln, Oswego,Illinois,60543
"AUG 29, 2024","2,158 sqft (on 8.87 acres)",3bd,3bd,"$525,000","Berkshire Hathaway HomeServices Starck Real Estate, Closed",43411 N  Lake Ave, Antioch,Illinois,60002
"AUG 29, 2024","1,066 sqft",2bd,2bd,"$205,000","Homesmart Connect LLC, Closed",7315 Custer Ct, Fox Lake,Illinois,60020
"AUG 29, 2024","2,803 sqft (on 0.29 acres)",4bd,4bd,"$472,000","Keller Williams North Shore West, Closed",660 Indian Ridge Dr, Antioch,Illinois,60002
"AUG 29, 2024",820 sqft (on 0.40 acres),2bd,2bd,"$258,000","Goldtree Realty, Inc, Closed",22418 W  Shagbark Ln, Antioch,Illinois,60002
"AUG 29, 2024","1,160 sqft",2bd,2bd,"$192,000","Baird & Warner Real Estate - Algonquin, Closed",2018 Apache Trl, Round Lake Beach,Illinois,60073
"AUG 29, 2024","2,910 sqft (on 0.25 acres)",4bd,4bd,"$581,000","Baird & Warner, Closed",18 Jamestown Ct, Grayslake,Illinois,60030
"AUG 29, 2024","3,696 sqft",5bd,5bd,"$455,000","Better Homes and Gardens Real Estate Star Homes, Closed",366 Clarewood Cir, Grayslake,Illinois,60030
"AUG 29, 2024","2,559 sqft",5bd,5bd,"$489,000","Keller Williams North Shore West, Closed",7410 Timsbury Ct, Gurnee,Illinois,60031
"AUG 29, 2024","1,692 sqft",3bd,3bd,"$250,000","RE/MAX Showcase, Closed",1339 N  Jackson St, Waukegan,Illinois,60085
"AUG 29, 2024","1,404 sqft",4bd,4bd,"$150,000","Lake Shore Drive Realty, Inc., Closed",1126 New York St, Waukegan,Illinois,60085
"AUG 29, 2024","2,131 sqft",3bd,3bd,"$900,000","@properties Christie's International Real Estate, Closed",620 School St, Libertyville,Illinois,60048
"AUG 29, 2024","3,869 sqft (on 0.29 acres)",5bd,5bd,"$525,000","Jameson Sotheby's International Realty, Closed",920 Mayfair Dr, Libertyville,Illinois,60048
"AUG 29, 2024","3,912 sqft",5bd,5bd,"$925,000","Compass, Closed",21473 N  Prestwick Dr, Barrington,Illinois,60010
