date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-23,3.0,3.0,145000.0,Unknown,20936 NE Cedar St, Blountstown,Florida,32424,1300.0
2024-08-23,3.0,3.0,213000.0,Levin Rinke Realty,154 Wildflower Ln, Pensacola,Florida,32514,1201.0
2024-08-23,3.0,3.0,193500.0,KELLER WILLIAMS REALTY GULF COAST,6617 Maui Ct, Pensacola,Florida,32504,975.0
2024-08-23,4.0,4.0,235000.0,Assurance Realty of NWFL LLC,3985 Langley Ave, Pensacola,Florida,32504,2028.0
2024-08-23,3.0,3.0,288000.0,Kuhn Realty,105 Mirabelle Cir, Pensacola,Florida,32514,1555.0
2024-08-23,2.0,2.0,142500.0,KELLER WILLIAMS REALTY GULF COAST,7917 Early Dr, Pensacola,Florida,32534,672.0
2024-08-23,4.0,4.0,410000.0,KELLER WILLIAMS REALTY GULF COAST,629 Whitney Dr, Pensacola,Florida,32503,1909.0
2024-08-23,3.0,3.0,170000.0,"BLUE ANCHOR REALTY, LLC",2704 Memphis Cir, Pensacola,Florida,32526,1884.0
2024-08-23,3.0,3.0,120000.0,1 FIRST CHOICE REALTY,1620 N  61st Ave, Pensacola,Florida,32506,1077.0
2024-08-23,3.0,3.0,360000.0,Better Homes And Gardens Real Estate Main Street Properties,413 Tonawanda Dr, Pensacola,Florida,32506,2636.0
2024-08-23,3.0,3.0,210000.0,KELLER WILLIAMS REALTY GULF COAST,102 Saint Regis Dr, Pensacola,Florida,32505,1707.0
